Time;latency;stimulus;coordinates
28-03-24 13:46:10;0,5856239;square;(624.0, 496.0)
28-03-24 13:46:11;0,2795782;square;(624.0, 497.0)
28-03-24 13:46:12;0,2403615;circle;(624.0, 497.0)
28-03-24 13:46:13;0,2008939;square;(624.0, 497.0)
28-03-24 13:46:14;0,1173582;circle;(624.0, 497.0)
28-03-24 13:46:15;0,1075025;circle;(624.0, 497.0)
28-03-24 13:46:16;0,09832382;square;(624.0, 497.0)
28-03-24 13:46:17;0,01107788;square;(624.0, 497.0)
28-03-24 13:46:18;0,2980728;circle;(624.0, 497.0)
28-03-24 13:46:19;0,2017012;circle;(624.0, 497.0)
28-03-24 13:46:20;0,2073545;circle;(624.0, 497.0)
