Time;latency;stimulus;coordinates
07-02-24 08:55:38;0,7642291;square;(599.0, 415.0)
07-02-24 08:55:41;1,38289;square;(1188.0, 374.0)
07-02-24 08:55:42;0,2566051;square;(1149.0, 414.0)
07-02-24 08:55:44;1,537995;square;(1148.0, 414.0)
07-02-24 08:55:46;0,607481;square;(628.0, 491.0)
07-02-24 08:55:48;1,361736;square;(1136.0, 391.0)
07-02-24 08:55:49;0,2551517;square;(1133.0, 390.0)
07-02-24 08:55:51;0,9281378;square;(1126.0, 406.0)
